AUSMDU00003352_S11_L001,AUSMDU00003352_8_01_2014
AUSMDU00003383_S23_L001,AUSMDU00003383_19_03_2014
AUSMDU00003361_S15_L001,AUSMDU00003361_30_01_2014
AUSMDU00003355_S5_L001,AUSMDU00003355_8_01_2014
AUSMDU00003377_S30_L001,AUSMDU00003377_3_03_2014
AUSMDU00003372_S10_L001,AUSMDU00003372_18_02_2014
AUSMDU00003364_S3_L001,AUSMDU00003364_5_02_2014
AUSMDU00003366_S1_L001,AUSMDU00003366_3_02_2014
AUSMDU00003356_S20_L001,AUSMDU00003356_10_01_2014
AUSMDU00003367_S1_L001,AUSMDU00003367_10_02_2014
AUSMDU00003386_S35_L001,AUSMDU00003386_5_01_2014
AUSMDU00003384_S27_L001,AUSMDU00003384_28_03_2014
AUSMDU00003348_S7_L001,AUSMDU00003348_31_12_2013
AUSMDU00003359_S17_L001,AUSMDU00003359_21_01_2014
AUSMDU00003360_S16_L001,AUSMDU00003360_21_01_2014
AUSMDU00003353_S12_L001,AUSMDU00003353_9_01_2014
AUSMDU00003351_S10_L001,AUSMDU00003351_2_01_2014
AUSMDU00003357_S19_L001,AUSMDU00003357_14_01_2014
AUSMDU00003371_S6_L001,AUSMDU00003371_17_02_2014
AUSMDU00003376_S26_L001,AUSMDU00003376_4_03_2014
AUSMDU00003365_S2_L001,AUSMDU00003365_7_02_2014
AUSMDU00003368_S2_L001,AUSMDU00003368_12_02_2014
AUSMDU00003358_S18_L001,AUSMDU00003358_20_01_2014
AUSMDU00003381_S15_L001,AUSMDU00003381_11_03_2014
AUSMDU00003378_S34_L001,AUSMDU00003378_7_03_2014
AUSMDU00003389_S16_L001,AUSMDU00003389_2_2_2014
AUSMDU00003374_S18_L001,AUSMDU00003374_24_02_2014
AUSMDU00003379_S7_L001,AUSMDU00003379_5_03_2014