Isolate, New
aus0002, aus0002_29/05/1998
aus0006, aus0006_19/07/1999
aus0007, aus0007_8/09/1999
aus0012, aus0012_5/09/2000
aus0015, aus0015_9/12/2002
aus0016, aus0016_22/05/2003
aus0018, aus0018_27/06/2003
aus0019, aus0019_13/02/2004
aus0021, aus0021_26/08/2004
aus0029, aus0029_11/11/2005
aus0030, aus0030_29/11/2005
aus0031, aus0031_3/12/2005
aus0038, aus0038_5/05/2006
aus0039, aus0039_19/09/2006
aus0040, aus0040_17/10/2006
aus0041, aus0041_14/11/2006
aus0045, aus0045_11/03/2007
aus0048, aus0048_9/04/2007
aus0050, aus0050_22/04/2007
aus0053, aus0053_19/06/2007
aus0055, aus0055_14/07/2007
aus0057, aus0057_1/10/2007
aus0063, aus0063_23/02/2008
aus0064, aus0064_15/03/2008
aus0065, aus0065_5/06/2008
aus0069, aus0069_17/06/2008
aus0070, aus0070_29/06/2008
aus0071, aus0071_24/07/2008
aus0078, aus0078_8/11/2008
aus0080, aus0080_26/12/2008
aus0081, aus0081_10/02/2009
aus0084, aus0084_21/02/2009
aus0087, aus0087_26/02/2009
aus0090, aus0090_23/03/2009
aus0091, aus0091_26/03/2009
aus0094, aus0094_13/05/2009
aus0098, aus0098_14/11/2003
aus0100, aus0100_2/12/2000
AUSMDU00003347, AUSMDU00003347_23/12/2013
AUSMDU00003348, AUSMDU00003348_31/12/2013
AUSMDU00003349, AUSMDU00003349_3/01/2014
AUSMDU00003350, AUSMDU00003350_3/01/2014
AUSMDU00003351, AUSMDU00003351_2/01/2014
AUSMDU00003352, AUSMDU00003352_8/01/2014
AUSMDU00003353, AUSMDU00003353_9/01/2014
AUSMDU00003354, AUSMDU00003354_10/01/2014
AUSMDU00003355, AUSMDU00003355_8/01/2014
AUSMDU00003356, AUSMDU00003356_10/01/2014
AUSMDU00003357, AUSMDU00003357_14/01/2014
AUSMDU00003358, AUSMDU00003358_20/01/2014
AUSMDU00003359, AUSMDU00003359_21/01/2014
AUSMDU00003360, AUSMDU00003360_21/01/2014
AUSMDU00003361, AUSMDU00003361_30/01/2014
AUSMDU00003362, AUSMDU00003362_5/02/2014
AUSMDU00003363, AUSMDU00003363_7/02/2014
AUSMDU00003364, AUSMDU00003364_5/02/2014
AUSMDU00003365, AUSMDU00003365_7/02/2014
AUSMDU00003366, AUSMDU00003366_3/02/2014
AUSMDU00003367, AUSMDU00003367_10/02/2014
AUSMDU00003368, AUSMDU00003368_12/02/2014
AUSMDU00003369, AUSMDU00003369_13/02/2014
AUSMDU00003370, AUSMDU00003370_11/02/2014
AUSMDU00003371, AUSMDU00003371_17/02/2014
AUSMDU00003372, AUSMDU00003372_18/02/2014
AUSMDU00003373, AUSMDU00003373_20/02/2014
AUSMDU00003374, AUSMDU00003374_24/02/2014
AUSMDU00003375, AUSMDU00003375_24/02/2014
AUSMDU00003376, AUSMDU00003376_4/03/2014
AUSMDU00003377, AUSMDU00003377_3/03/2014
AUSMDU00003378, AUSMDU00003378_7/03/2014
AUSMDU00003379, AUSMDU00003379_5/03/2014
AUSMDU00003380, AUSMDU00003380_6/03/2014
AUSMDU00003381, AUSMDU00003381_11/03/2014
AUSMDU00003382, AUSMDU00003382_17/03/2014
AUSMDU00003383, AUSMDU00003383_19/03/2014
AUSMDU00003384, AUSMDU00003384_28/03/2014
AUSMDU00003385, AUSMDU00003385_7/04/2014
AUSMDU00003386, AUSMDU00003386_5/01/2014
AUSMDU00003387, AUSMDU00003387_8/01/2014
AUSMDU00003388, AUSMDU00003388_30/1/2014
AUSMDU00003389, AUSMDU00003389_2/2/2014
CP003351, aus0004_21/10/1998
CP006620, aus0085_22/02/2009